INTEGER,NAME,description,ULTypeBase,Evbase,EVbase_res,fsvbase,s1_lapse_d10,s17_lapse_u10,s2_exp_d10,s18_exp_u10,s3_econ_d1,s21_econ_u1,s4_mort_d5,s5_mort_u5,s6_vnb_d10,s7_enp_d10,s8_curr_d10,s20_cred_w1,s10_enp_econ_u1,s11_acq_d10,s12_shock,s13_no_liq,s14_econ_rdru,s15_econ_rdrd,s16_econ_d1,FSB_Mort1,FSB_Mort2,FSB_Expense,FSB_Withdrawals_Up,FSB_Withdrawals_Down,No_Margins,No_IGR_Costs,s1_lapse_d10_res,s17_lapse_u10_res,s2_exp_d10_res,s18_exp_d10_res,s3_econ_d1_res,s4_mort_d5_res,s5_mort_u5_res,s6_vnb_d10_res,s7_enp_d10_res,s10_enp_econ_u1_res,s11_acq_d10_res,s12_shock_res,s13_no_liq_res,FSV_no_margin,BEL,Mkt_int_up,Mkt_int_dn,Mkt_int_real_up,Mkt_int_real_dn,Mkt_eq_global,Mkt_eq_SA,Mkt_eq_other,Mkt_eq_global_ESA0,Mkt_eq_SA_ESA0,Mkt_eq_other_ESA0,Mkt_eq_Infra,Mkt_prop,Mkt_fx_up,Mkt_fx_dn,Mkt_sp,Mkt_int_vol,Mkt_eq_vol,Mkt_conc,Mkt_ip,Life_mort,Life_long,Life_dis,Life_lapse_dn,Life_lapse_up,Life_lapse_mass,Life_exp,Life_CAT_mort,Life_CAT_dis,Life_ret,BEL_min,BEL_min_B,Mkt_eq_SA_Sym0,BEL_tax,fund_d5,fund_d20,Mkt_sp_bonds,Life_long_B,Life_long_C,i_Life_mort,i_Life_long,i_Life_lapse_up,i_Life_lapse_dn,i_Life_lapse_mass,i_Life_exp_h,i_Life_exp_l,i_Life_dis_B,i_Life_dis_C,i_Life_dis_D,i_Life_dis_E,i_MAV1,i_MAV2_str,i_Mkt_int_up,i_Mkt_int_dn,i_Mkt_int_mean,i_Mkt_int_tw1,i_Mkt_int_tw2,i_Mkt_eq,i_Mkt_prop,i_Mkt_fx_long,i_Mkt_fx_short,i_Mkt_eq_vol,i_Mkt_eq_devel,i_Mkt_eq_emerg,i_Mkt_eq_other,i_Life_exp_h2,i_Mkt_NDSR_up,i_Mkt_NDSR_dn
1,USE_PGN104_MARG,1=use_fsv_and_2nd_tier_margins_when_calculating_liabilities.0=nil_margin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,USE_SY_ON_RES,"1=yes.0=reserve_stay_constant,sense_on_BE_only",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,syc_sens,yield_curve_sensitivity,base,base,base,base,base,base,base,base,s3_d1,s21_u1,base,base,base,s7,s8,s20,s10_enp,base,s12_shock,base,s14,s15,s16,base,base,base,base,base,base,base,base,base,base,base,s3_d1,base,base,base,s7,s10_enp,base,s12_shock,base,base,BEL,Int_up,Int_dn,Int_real_up,Int_real_dn,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,Int_up,BEL,BEL,BEL,BEL,BEL,BEL,BEL,i,i,i,i,i,i,i,i,i,i,i,i,i,i_Mkt,i_Mkt,i_Mkt,i_Mkt,i_Mkt,i,i,i,i,i,i,i,i,i,i_Mkt,i_Mkt
4,syc_sens,RealWorld_or_RiskNeutral,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,RealWorld,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,LIQ0,MAV1,MAV1,MAV1,MAV1,MAV1,MAV1,MAV1,MAV1,MAV1,MAV1,MAV1,MAV1,MAV2_str,int_up,int_dn,int_mean,int_tw1,int_tw2,MAV1,MAV1,MAV1,MAV1,MAV1,MAV1,MAV1,MAV1,MAV1,NDSR_up,NDSR_dn
5,NO_REBASE_Y,0=rebasing_off.10=rebase_for_10_yrs.999=read_from_ULType,999,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,SRE_REBASE_ON,1=rebase_on.0=rebase_off_FOR_MTX_and_MILL_ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SSY_PREMGR_COL,column_in_SSY_PREMGR_TABLE,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,SSY_MV_ADJ_COL,column_in_SSY__MV_ADJ_TABLE,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,1,1,1,2,3,4,5,6,7,8,19,20,21,18,9,10,11,12,13,14,1,1,1,1,1,1,1,1,1,1,1,1,15,16,17,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,13,9,10,11,12,28,14,29,30,31,32,33,34,1,26,27
9,mort_mult,factor_for_qx,1,1,1,1,1,1,1,1,1,1,0.95,1.05,1,1,1,1,1,1,1,1,1,1,1,1.3,0.7,1,1,1,1,1,1,1,1,1,1,0.95,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.15,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1.125,0.825,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,mort_imp_add_pc,Extra mortality improvement percentage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
